"loc_rowid","pl_name","hostname","pl_letter","sy_snum","sy_pnum","sy_mnum","discoverymethod","disc_year","disc_facility","pl_controv_flag","pl_orbper","pl_orbpererr1","pl_orbpererr2","pl_orbperlim","pl_rade","pl_radeerr1","pl_radeerr2","pl_radelim"
"3547","Kepler-331 b","Kepler-331","b","1","3","0","Transit","2014","Kepler","0","8.457496","0.000024","-0.000024","0","1.82","0.19","-0.19","0"
"3548","Kepler-331 c","Kepler-331","c","1","3","0","Transit","2014","Kepler","0","17.28111","0.000064","-0.000064","0","1.84","0.19","-0.19","0"
"3549","Kepler-331 d","Kepler-331","d","1","3","0","Transit","2014","Kepler","0","32.134328","0.000216","-0.000216","0","1.64","0.17","-0.17","0"
"3550","Kepler-332 b","Kepler-332","b","1","3","0","Transit","2014","Kepler","0","7.626324","0.000028","-0.000028","0","1.17","0.08","-0.08","0"
"3551","Kepler-332 c","Kepler-332","c","1","3","0","Transit","2014","Kepler","0","15.995622","0.000108","-0.000108","0","1.09","0.08","-0.08","0"
"3552","Kepler-332 d","Kepler-332","d","1","3","0","Transit","2014","Kepler","0","34.21154","0.000326","-0.000326","0","1.18","0.08","-0.08","0"
"3553","Kepler-333 b","Kepler-333","b","2","2","0","Transit","2014","Kepler","0","12.551158","0.000044","-0.000044","0","1.32","0.16","-0.16","0"
"3554","Kepler-333 c","Kepler-333","c","2","2","0","Transit","2014","Kepler","0","24.08821","0.000207","-0.000207","0","1.11","0.2","-0.2","0"
"3555","Kepler-334 b","Kepler-334","b","1","3","0","Transit","2014","Kepler","0","5.470319","0.000021","-0.000021","0","1.12","0.21","-0.21","0"
"3556","Kepler-334 c","Kepler-334","c","1","3","0","Transit","2014","Kepler","0","12.758005","0.000055","-0.000055","0","1.43","0.26","-0.26","0"
"3557","Kepler-334 d","Kepler-334","d","1","3","0","Transit","2014","Kepler","0","25.09849","0.000142","-0.000142","0","1.41","0.26","-0.26","0"
"3558","Kepler-335 b","Kepler-335","b","1","2","0","Transit","2014","Kepler","0","6.562331","0.000031","-0.000031","0","3.39","0.67","-0.67","0"
"3559","Kepler-335 c","Kepler-335","c","1","2","0","Transit","2014","Kepler","0","67.844469","0.001423","-0.001423","0","3.07","0.66","-0.66","0"
"3560","Kepler-336 b","Kepler-336","b","1","3","0","Transit","2014","Kepler","0","2.024823","0.000017","-0.000017","0","1.02","0.19","-0.19","0"
